"","Year","Month","Police.District.Name","num"
"566","2021","11","GERMANTOWN",372
"567","2020","08","ROCKVILLE",371
"568","2022","09","ROCKVILLE",371
"569","2023","04","GERMANTOWN",371
"570","2024","03","ROCKVILLE",371
"571","2024","09","GERMANTOWN",371
"572","2020","12","GERMANTOWN",370
"573","2025","04","GERMANTOWN",370
"574","2016","08","ROCKVILLE",369
"575","2022","08","GERMANTOWN",367
"576","2022","09","GERMANTOWN",367
"577","2020","04","MONTGOMERY VILLAGE",366
"578","2020","06","GERMANTOWN",366
"579","2020","10","ROCKVILLE",366
"580","2023","05","ROCKVILLE",366
"581","2020","03","ROCKVILLE",365
"582","2021","04","BETHESDA",365
"583","2022","07","GERMANTOWN",365
"584","2022","10","ROCKVILLE",365
"585","2023","03","ROCKVILLE",365
"586","2017","04","ROCKVILLE",364
"587","2020","09","GERMANTOWN",364
"588","2024","12","GERMANTOWN",363
"589","2020","07","ROCKVILLE",362
"590","2022","12","GERMANTOWN",362
"591","2024","03","GERMANTOWN",361
"592","2025","03","ROCKVILLE",361
"593","2021","04","GERMANTOWN",360
"594","2022","06","ROCKVILLE",360
"595","2020","03","BETHESDA",359
"596","2020","09","ROCKVILLE",359
"597","2021","11","ROCKVILLE",359
"598","2024","01","GERMANTOWN",359
"599","2021","06","ROCKVILLE",358
"600","2021","08","ROCKVILLE",358
"601","2025","02","MONTGOMERY VILLAGE",358
"602","2023","06","ROCKVILLE",357
"603","2023","10","ROCKVILLE",354
"604","2024","11","ROCKVILLE",354
"605","2021","01","GERMANTOWN",353
"606","2021","05","ROCKVILLE",353
"607","2025","07","BETHESDA",353
"608","2023","11","ROCKVILLE",352
"609","2021","03","GERMANTOWN",351
"610","2024","06","ROCKVILLE",349
"611","2021","02","BETHESDA",348
"612","2022","01","ROCKVILLE",348
"613","2023","02","ROCKVILLE",348
"614","2021","03","ROCKVILLE",347
"615","2021","07","ROCKVILLE",347
"616","2024","02","GERMANTOWN",346
"617","2023","02","GERMANTOWN",343
"618","2024","07","ROCKVILLE",343
"619","2022","07","ROCKVILLE",342
"620","2023","07","ROCKVILLE",342
"621","2021","08","GERMANTOWN",341
"622","2023","04","ROCKVILLE",341
"623","2020","06","ROCKVILLE",340
"624","2021","09","ROCKVILLE",339
"625","2025","01","GERMANTOWN",339
"626","2024","01","ROCKVILLE",338
"627","2022","04","ROCKVILLE",336
"628","2023","12","ROCKVILLE",335
"629","2024","12","ROCKVILLE",335
"630","2024","07","GERMANTOWN",334
"631","2020","11","ROCKVILLE",331
"632","2020","05","GERMANTOWN",330
"633","2022","02","GERMANTOWN",330
"634","2020","12","ROCKVILLE",329
"635","2023","09","GERMANTOWN",326
"636","2021","12","ROCKVILLE",319
"637","2022","01","GERMANTOWN",318
"638","2021","02","GERMANTOWN",317
"639","2022","05","ROCKVILLE",317
"640","2024","02","ROCKVILLE",316
"641","2025","06","ROCKVILLE",315
"642","2022","02","ROCKVILLE",313
"643","2024","11","GERMANTOWN",308
"644","2021","02","ROCKVILLE",306
"645","2025","02","GERMANTOWN",306
"646","2020","04","GERMANTOWN",295
"647","2021","01","ROCKVILLE",289
"648","2025","07","ROCKVILLE",283
"649","2020","04","BETHESDA",281
"650","2025","01","ROCKVILLE",273
"651","2025","07","GERMANTOWN",269
"652","2025","02","ROCKVILLE",267
"653","2021","04","ROCKVILLE",250
"654","2020","04","ROCKVILLE",235
"655","2024","07","TAKOMA PARK",217
"656","2024","05","TAKOMA PARK",216
"657","2024","02","TAKOMA PARK",206
"658","2024","03","TAKOMA PARK",186
"659","2023","11","TAKOMA PARK",161
"660","2024","04","TAKOMA PARK",159
"661","2024","08","TAKOMA PARK",158
"662","2023","08","TAKOMA PARK",157
"663","2024","06","TAKOMA PARK",155
"664","2023","03","TAKOMA PARK",146
"665","2023","10","TAKOMA PARK",144
"666","2024","01","TAKOMA PARK",141
"667","2023","06","TAKOMA PARK",129
"668","2023","01","TAKOMA PARK",127
"669","2023","02","TAKOMA PARK",120
"670","2020","01","TAKOMA PARK",118
"671","2023","04","TAKOMA PARK",117
"672","2024","10","TAKOMA PARK",117
"673","2019","05","TAKOMA PARK",116
"674","2023","09","TAKOMA PARK",114
"675","2025","03","TAKOMA PARK",114
"676","2017","01","TAKOMA PARK",113
"677","2017","04","TAKOMA PARK",111
"678","2022","06","TAKOMA PARK",111
"679","2018","06","TAKOMA PARK",106
"680","2017","08","TAKOMA PARK",105
"681","2023","07","TAKOMA PARK",105
"682","2022","05","TAKOMA PARK",103
"683","2021","03","TAKOMA PARK",102
"684","2023","12","TAKOMA PARK",102
